,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,1.0,0.6286861011964031,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6200498433043923,0.0,0.0,S0,0.0,S,0.0001626545217957059,2.3664576400927143e-06,0.0,0.0,0
1,1.0,0.6286861011964031,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6232335412056209,0.0,0.0,S0,0.0,S,5.421817393190197e-05,7.888192133642381e-07,0.0,0.0,0
2,1.0,0.6286861011964031,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6232335412056209,0.0,0.0,S0,0.0,S,5.421817393190197e-05,7.888192133642381e-07,0.0,0.0,0
3,1.0,0.6286861011964031,0.8557948131196234,0.0012383027415082213,tcp,http,0.2215827935080919,1.972291971643895e-06,0.7807580387907418,SF,0.5,ShADadttcfF,0.005096508349598785,7.263710256395694e-05,0.0897196261682243,0.823183944112249,0
4,1.0,0.628716738920633,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6219455867667754,0.0,0.0,S0,0.0,S,0.0001626545217957059,2.3664576400927143e-06,0.0,0.0,0
5,1.0,0.628716738920633,0.8557948131196234,0.0012383027415082213,tcp,http,0.1801781255425831,1.9987656893840813e-06,0.7813424567469835,SF,1.0,ShADadttcfF,0.005204944697462589,7.492467828271323e-05,0.08598130841121496,0.7882304185661002,0
6,1.0,0.6287473766448628,0.8557948131196234,0.0012383027415082213,tcp,http,0.1081377156303269,1.9590551127738017e-06,0.5598297882702445,SF,0.5,ShADadtcfF,0.003632617653437432,5.4533701617247666e-05,0.06074766355140187,0.547350660114854,0
7,1.0,0.6287780143690926,0.8557948131196234,0.0012383027415082213,tcp,http,0.8575719902884216,1.9590551127738017e-06,0.6045255865486466,SF,1.0,ShADadtcfF,0.004066363044892648,5.8004506156050316e-05,0.06448598130841121,0.5749037949203718,0
8,1.0,0.6288086520933225,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6140554089481969,0.0,0.0,S0,0.0,S,0.0001626545217957059,2.3664576400927143e-06,0.0,0.0,0
9,1.0,0.6288086520933225,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6232335412056208,0.0,0.0,S0,0.0,S,5.421817393190197e-05,7.888192133642381e-07,0.0,0.0,0
10,1.0,0.6288086520933225,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6232335412056208,0.0,0.0,S0,0.0,S,5.421817393190197e-05,7.888192133642381e-07,0.0,0.0,0
11,1.0,0.0018842200401354187,0.6797322870379532,0.00191231562612662,udp,irc,0.6200219767148503,6.353692257644762e-07,0.0002922089781208527,SF,0.0,Dd,5.421817393190197e-05,9.991710035947017e-07,0.0009345794392523365,0.0004499437570303712,0
12,1.0,0.6288086520933225,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6232335412056208,0.0,0.0,S0,0.0,S,5.421817393190197e-05,7.888192133642381e-07,0.0,0.0,0
13,1.0,0.6288086520933225,0.8557948131196234,0.0012383027415082213,tcp,irc,0.6232335412056208,0.0,0.0,S0,0.0,S,5.421817393190197e-05,7.888192133642381e-07,0.0,0.0,0
